match_id,date,team1,team2,venue,city,winner,toss_winner,toss_decision,event,opponent,india_result,year,india_won_toss,india_batted_first
1345425,11-12-2022,Australia,India,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,,India,field,Australia Women tour of India,Australia,No Result,2022,TRUE,FALSE
1345426,14-12-2022,Australia,India,"Brabourne Stadium, Mumbai",Mumbai,Australia,India,field,Australia Women tour of India,Australia,Loss,2022,TRUE,FALSE
1345427,17-12-2022,Australia,India,"Brabourne Stadium, Mumbai",Mumbai,Australia,India,field,Australia Women tour of India,Australia,Loss,2022,TRUE,FALSE
1345428,20-12-2022,Australia,India,"Brabourne Stadium, Mumbai",Mumbai,Australia,India,field,Australia Women tour of India,Australia,Loss,2022,TRUE,FALSE
1382163,09-07-2023,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",Dhaka,India,India,field,India Women tour of Bangladesh,Bangladesh,Win,2023,TRUE,FALSE
1382164,11-07-2023,India,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,India,India,bat,India Women tour of Bangladesh,Bangladesh,Win,2023,TRUE,TRUE
1382165,13-07-2023,India,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,India,bat,India Women tour of Bangladesh,Bangladesh,Loss,2023,TRUE,TRUE
1399055,21-09-2023,India,Malaysia,Zhejiang University of Technology Cricket Field,Hangzhou,,Malaysia,field,Asian Games Women's Cricket Competition,Malaysia,No Result,2023,FALSE,TRUE
1399059,24-09-2023,Bangladesh,India,Zhejiang University of Technology Cricket Field,Hangzhou,India,Bangladesh,bat,Asian Games Women's Cricket Competition,Bangladesh,Win,2023,FALSE,FALSE
1399062,25-09-2023,India,Sri Lanka,Zhejiang University of Technology Cricket Field,Hangzhou,India,India,bat,Asian Games Women's Cricket Competition,Sri Lanka,Win,2023,TRUE,TRUE
1406073,06-12-2023,England,India,"Wankhede Stadium, Mumbai",Mumbai,England,India,field,England Women tour of India,England,Loss,2023,TRUE,FALSE
1406074,09-12-2023,India,England,"Wankhede Stadium, Mumbai",Mumbai,England,England,field,England Women tour of India,England,Loss,2023,FALSE,TRUE
1406075,10-12-2023,England,India,"Wankhede Stadium, Mumbai",Mumbai,India,England,bat,England Women tour of India,England,Win,2023,FALSE,FALSE
1406081,05-01-2024,Australia,India,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,India,India,field,Australia Women tour of India,Australia,Win,2024,TRUE,FALSE
1406082,07-01-2024,India,Australia,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,Australia,field,Australia Women tour of India,Australia,Loss,2024,FALSE,TRUE
1406083,09-01-2024,India,Australia,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Australia,Australia,field,Australia Women tour of India,Australia,Loss,2024,FALSE,TRUE
1426757,19-07-2024,Pakistan,India,Rangiri Dambulla International Stadium,Dambulla,India,Pakistan,bat,Women's Asia Cup,Pakistan,Win,2024,FALSE,FALSE
1426760,21-07-2024,India,United Arab Emirates,Rangiri Dambulla International Stadium,Dambulla,India,United Arab Emirates,field,Women's Asia Cup,United Arab Emirates,Win,2024,FALSE,TRUE
1426765,23-07-2024,India,Nepal,Rangiri Dambulla International Stadium,Dambulla,India,India,bat,Women's Asia Cup,Nepal,Win,2024,TRUE,TRUE
1426768,26-07-2024,Bangladesh,India,Rangiri Dambulla International Stadium,Dambulla,India,Bangladesh,bat,Women's Asia Cup,Bangladesh,Win,2024,FALSE,FALSE
